ID,SolicitaCredenciales,EnlacesSospechosos,AsuntoUrgente_compuesto,DominioRemitenteSospechoso,NombreDominioIncoherente,DominioContacto_compuesto,DominioAmenaza_compuesto,MicroSeñales_fuerte,LinkYActualizacion,SolicitaCredencialesAlternativa
Correo01,1,1,1,1,1,0,0,1,1,0
Correo02,0,1,1,1,1,0,1,0,0,0
Correo03,1,1,1,0,0,0,1,0,1,1
Correo04,1,0,1,0,1,1,0,0,0,0
Correo05,1,0,0,0,0,0,0,0,1,0
Correo06,0,0,1,0,0,0,1,0,0,0
Correo07,1,1,0,1,0,1,0,1,1,0
Correo08,1,1,0,1,1,1,0,1,0,1
Correo09,0,1,1,0,0,1,0,0,1,0
Correo10,1,1,1,1,0,1,1,1,0,0
Correo11,1,0,1,0,0,0,1,1,1,0
Correo12,1,0,0,0,1,0,0,0,0,0
Correo13,1,1,0,1,0,1,1,1,1,1
Correo14,1,0,0,0,0,0,0,0,0,1
Correo15,0,1,1,1,0,0,0,1,0,0
Correo16,1,0,0,0,0,1,0,0,1,0
Correo17,1,1,1,0,0,1,0,0,0,1
Correo18,0,0,1,1,1,0,0,1,0,0
Correo19,0,0,0,1,0,0,0,1,0,1
Correo20,1,1,1,0,1,0,1,0,1,0
Correo21,1,0,1,1,1,0,1,1,1,0
Correo22,0,1,0,1,1,0,0,0,0,0
Correo23,0,1,1,1,0,0,0,1,0,1
Correo24,1,0,0,0,0,0,1,1,0,0
Correo25,1,0,0,0,1,0,0,0,0,1
Correo26,1,0,1,0,1,0,1,1,1,0
Correo27,1,1,0,1,0,1,0,0,0,1
Correo28,1,0,1,1,1,1,1,0,0,1
Correo29,0,1,0,1,1,0,1,0,1,1
Correo30,1,1,0,1,0,1,1,0,0,1
Correo31,1,0,1,0,1,0,0,0,0,1
Correo32,1,1,1,0,1,0,1,0,1,0
Correo33,1,0,0,1,1,1,0,0,0,1
Correo34,0,1,1,1,1,0,1,1,1,0
Correo35,0,0,1,0,0,0,0,0,0,1
Correo36,1,1,0,0,1,1,0,0,1,0
Correo37,1,0,1,1,0,0,0,1,0,0
Correo38,0,0,1,0,1,0,0,0,1,1
Correo39,0,1,1,1,0,1,1,1,0,0
Correo40,1,1,1,1,1,0,1,0,1,1
Correo41,1,0,0,1,1,1,0,0,1,1
Correo42,1,1,0,0,0,0,0,0,1,0
Correo43,1,0,1,0,1,0,1,1,1,0
Correo44,1,0,0,0,0,0,0,1,0,1
Correo45,0,1,1,1,1,0,0,1,0,0
Correo46,1,1,1,1,0,1,0,1,0,0
Correo47,1,0,0,0,1,1,0,0,0,1
Correo48,0,1,1,0,0,0,1,0,0,0
Correo49,1,1,0,1,1,0,1,1,0,0
Correo50,1,0,1,1,1,0,1,0,1,0
Correo51,0,0,0,0,1,0,0,0,0,1
Correo52,0,1,1,1,0,0,1,0,1,0
Correo53,0,0,0,1,0,1,0,0,0,1
Correo54,0,1,1,0,0,1,0,1,1,1
Correo55,0,0,1,0,1,0,0,0,1,0
Correo56,0,1,0,0,0,0,0,0,1,0
Correo57,0,0,0,1,0,1,0,0,0,0
Correo58,1,0,1,0,0,0,0,1,0,1
Correo59,0,0,0,0,0,0,1,1,1,0
Correo60,0,1,0,0,0,1,0,0,1,0
Correo61,1,0,1,1,1,0,0,0,1,1
Correo62,0,0,0,1,0,1,0,0,1,1
Correo63,0,0,1,0,0,0,0,1,0,0
Correo64,0,1,0,1,1,1,0,0,0,0
Correo65,0,1,1,1,0,0,1,1,0,1
Correo66,0,0,1,0,1,0,0,1,0,0
Correo67,0,0,0,1,0,1,0,1,1,1
Correo68,0,1,1,1,0,1,1,0,0,1
Correo69,0,0,1,0,0,0,0,1,0,0
Correo70,1,1,0,1,1,0,0,1,0,0
Correo71,0,0,0,0,1,0,0,1,1,0
Correo72,0,1,0,0,1,0,0,0,1,1
Correo73,0,1,1,1,1,1,0,0,1,1
Correo74,0,0,1,0,0,0,1,0,1,1
Correo75,0,1,0,0,0,1,0,1,0,1
Correo76,1,0,1,0,1,1,0,1,0,1
Correo77,1,0,0,1,1,1,0,1,0,0
Correo78,0,0,1,1,0,1,0,0,1,1
Correo79,0,1,1,1,1,0,1,0,1,1
Correo80,0,0,0,0,0,1,0,1,1,0
Correo81,0,1,1,1,1,0,0,1,1,0
Correo82,0,0,1,0,0,0,0,0,1,0
Correo83,0,1,1,1,1,0,1,1,0,0
Correo84,0,0,0,1,0,1,1,0,1,1
Correo85,0,0,0,0,1,0,0,0,1,1
Correo86,1,0,1,0,1,0,1,1,0,1
Correo87,0,1,1,0,0,1,1,0,0,0
Correo88,0,0,0,1,0,0,0,1,0,0
Correo89,0,1,0,1,1,1,1,0,1,0
Correo90,0,0,1,0,1,0,0,0,0,1
Correo91,0,1,0,0,0,0,0,1,0,1
Correo92,1,1,0,0,1,1,0,1,0,0
Correo93,0,0,0,1,0,1,0,0,1,1
Correo94,0,0,1,0,0,0,0,0,1,1
Correo95,0,1,0,0,1,1,0,0,1,1
Correo96,0,0,0,0,0,0,0,0,1,1
Correo97,0,1,0,1,1,1,0,1,1,1
Correo98,0,0,1,0,0,1,0,1,1,0
Correo99,1,0,1,1,1,0,1,0,1,0
Correo100,0,0,0,1,1,0,0,1,0,1
