ID,AsuntoUrgente,SolicitaCredenciales,EnlacesSospechosos,DominioRemitenteSospechoso,ErroresOrtograficos,FaltaInformacionContacto,AmenazasConsecuencias,PremioInexperado,ActualizacionUrgente,SaludoGenerico,Clase_Manual,Clase_Predicha
Correo01,1,1,1,1,1,1,1,1,1,1,Phishing,Phishing
Correo02,1,0,1,1,0,1,0,1,1,0,Phishing,Phishing
Correo03,1,1,0,1,1,0,1,0,0,1,Phishing,Phishing
Correo04,1,0,0,1,0,1,1,0,1,0,Phishing,Phishing
Correo05,1,1,1,0,0,0,1,1,0,0,Phishing,Legítimo
Correo06,1,0,0,0,1,1,0,1,1,1,Phishing,Phishing
Correo07,1,1,0,0,1,1,1,0,1,0,Phishing,Phishing
Correo08,1,0,1,1,1,0,0,0,0,1,Phishing,Legítimo
Correo09,1,1,1,1,0,1,0,0,1,0,Phishing,Phishing
Correo10,1,0,1,0,1,1,1,1,0,0,Phishing,Phishing
Correo11,1,1,0,0,0,0,0,1,1,1,Phishing,Legítimo
Correo12,1,1,0,1,0,0,1,0,0,0,Phishing,Phishing
Correo13,1,1,1,0,1,0,0,1,0,1,Phishing,Phishing
Correo14,1,0,1,0,0,0,1,1,1,0,Phishing,Phishing
Correo15,1,1,0,1,0,0,0,0,1,0,Phishing,Legítimo
Correo16,1,0,0,0,1,0,0,0,1,0,Phishing,Legítimo
Correo17,1,1,1,1,0,0,1,0,0,0,Phishing,Phishing
Correo18,1,0,1,0,1,1,0,0,1,1,Phishing,Phishing
Correo19,1,1,0,0,0,1,1,1,0,1,Phishing,Phishing
Correo20,1,0,1,0,0,0,0,1,1,1,Phishing,Phishing
Correo21,1,1,1,0,1,1,0,0,0,1,Phishing,Phishing
Correo22,1,0,0,1,1,1,1,1,0,0,Phishing,Phishing
Correo23,1,1,1,1,1,0,0,1,1,0,Phishing,Phishing
Correo24,1,0,0,0,0,0,1,0,1,1,Phishing,Legítimo
Correo25,1,1,0,1,1,1,0,1,0,0,Phishing,Phishing
Correo26,1,0,0,0,0,1,1,1,0,0,Phishing,Legítimo
Correo27,1,1,1,1,1,0,1,0,1,0,Phishing,Phishing
Correo28,1,0,0,1,0,0,0,1,1,0,Phishing,Phishing
Correo29,1,1,0,0,1,0,1,1,1,0,Phishing,Phishing
Correo30,1,0,1,1,1,1,0,1,0,1,Phishing,Phishing
Correo31,1,1,1,0,0,1,1,0,1,1,Phishing,Phishing
Correo32,1,0,0,1,1,0,0,0,0,1,Phishing,Legítimo
Correo33,1,1,0,0,1,1,0,1,0,0,Phishing,Phishing
Correo34,1,0,1,1,0,0,1,0,0,0,Phishing,Phishing
Correo35,1,1,1,0,1,1,1,0,0,1,Phishing,Phishing
Correo36,1,0,0,1,0,0,0,1,1,1,Phishing,Phishing
Correo37,1,1,1,1,0,0,0,1,0,0,Phishing,Phishing
Correo38,1,0,1,0,1,0,1,0,1,0,Phishing,Phishing
Correo39,1,1,0,1,0,1,0,1,1,1,Phishing,Phishing
Correo40,1,0,0,0,1,1,1,1,0,0,Phishing,Legítimo
Correo41,1,1,1,0,0,0,1,0,1,0,Phishing,Phishing
Correo42,1,0,1,1,1,0,1,1,0,0,Phishing,Phishing
