ID,SolicitaCredenciales,EnlacesSospechosos,AsuntoUrgente_compuesto,DominioRemitenteSospechoso,NombreDominioIncoherente,DominioContacto_compuesto,DominioAmenaza_compuesto,MicroSeñales_fuerte,LinkYActualizacion,SolicitaCredencialesAlternativa,Clase_Verdadera,Clase_Predicha
Correo01,1,1,1,1,1,1,0,1,1,1,Phishing,Phishing
Correo02,0,1,1,1,1,0,1,1,1,0,Phishing,Phishing
Correo03,1,1,1,0,0,0,0,0,0,1,Phishing,Legítimo
Correo04,1,0,1,0,1,0,0,1,0,0,Phishing,Phishing
Correo05,1,1,0,1,1,1,0,1,1,1,Phishing,Phishing
Correo06,0,1,0,1,0,1,0,0,1,0,Phishing,Legítimo
Correo07,1,0,1,1,1,0,1,0,0,0,Phishing,Phishing
Correo08,0,1,1,1,0,0,0,1,0,0,Phishing,Phishing
Correo09,1,1,1,1,1,1,0,1,0,1,Phishing,Phishing
Correo10,1,1,0,1,1,1,0,0,1,1,Phishing,Phishing
Correo11,1,0,1,0,0,0,0,0,1,0,Phishing,Legítimo
Correo12,0,1,1,1,1,0,1,1,0,0,Phishing,Phishing
Correo13,1,1,0,1,1,1,1,1,1,1,Phishing,Phishing
Correo14,1,0,1,1,1,0,1,0,1,0,Phishing,Phishing
Correo15,0,1,1,1,0,1,0,1,0,0,Phishing,Phishing
Correo16,1,1,1,0,1,1,0,1,0,1,Phishing,Phishing
Correo17,1,0,1,1,1,0,1,1,0,0,Phishing,Phishing
Correo18,0,1,0,1,0,1,0,0,0,0,Phishing,Legítimo
Correo19,1,1,1,1,1,1,1,1,1,1,Phishing,Phishing
Correo20,1,1,1,0,1,0,1,0,0,1,Phishing,Phishing
Correo21,1,0,1,0,0,0,0,0,0,0,Phishing,Legítimo
Correo22,0,1,1,1,0,0,0,1,1,0,Phishing,Phishing
Correo23,1,0,1,0,1,0,0,1,1,0,Phishing,Phishing
Correo24,1,1,0,1,0,1,0,1,1,1,Phishing,Phishing
Correo25,1,0,1,1,1,1,1,0,0,0,Phishing,Phishing
Correo26,0,1,1,1,1,0,1,0,1,0,Phishing,Phishing
Correo27,0,0,1,0,1,0,0,0,1,0,Phishing,Legítimo
Correo28,1,0,1,1,1,1,1,1,1,0,Phishing,Phishing
Correo29,1,0,0,1,1,1,0,1,1,0,Phishing,Phishing
Correo30,0,1,1,1,1,1,1,1,1,0,Phishing,Phishing
Correo31,0,0,0,0,0,0,0,0,0,0,Legítimo,Legítimo
Correo32,0,1,1,0,0,0,0,1,0,0,Legítimo,Phishing
Correo33,0,0,0,1,0,0,0,0,0,0,Legítimo,Legítimo
Correo34,0,0,0,0,0,1,0,0,0,0,Legítimo,Legítimo
Correo35,0,0,1,0,0,0,0,0,0,0,Legítimo,Legítimo
Correo36,0,1,0,0,0,0,0,0,1,0,Legítimo,Legítimo
Correo37,1,0,1,0,0,0,0,1,0,0,Legítimo,Phishing
Correo38,0,0,0,1,0,1,0,1,0,0,Legítimo,Legítimo
Correo39,0,0,0,0,0,0,1,0,0,0,Legítimo,Legítimo
Correo40,0,1,0,0,0,0,0,0,0,0,Legítimo,Legítimo
Correo41,1,0,1,1,1,0,0,0,0,0,Legítimo,Phishing
Correo42,0,0,0,1,0,1,0,0,1,0,Legítimo,Legítimo
Correo43,0,0,1,0,0,0,0,0,1,0,Legítimo,Legítimo
Correo44,0,1,0,1,0,0,0,0,0,0,Legítimo,Legítimo
Correo45,0,0,0,0,1,0,0,0,0,0,Legítimo,Legítimo
Correo46,0,1,1,1,0,0,1,1,0,0,Legítimo,Phishing
Correo47,0,0,0,1,0,1,0,1,0,0,Legítimo,Legítimo
Correo48,0,1,0,0,0,0,0,0,1,0,Legítimo,Legítimo
Correo49,0,0,1,0,0,0,1,1,0,0,Legítimo,Legítimo
Correo50,0,0,0,0,0,0,0,0,1,0,Legítimo,Legítimo
Correo51,1,1,0,1,1,0,0,1,1,1,Legítimo,Phishing
Correo52,0,1,0,0,1,0,0,0,0,0,Legítimo,Legítimo
Correo53,0,0,0,1,1,1,0,0,0,0,Legítimo,Legítimo
Correo54,0,0,1,0,0,0,1,0,1,0,Legítimo,Legítimo
Correo55,0,1,0,0,0,1,0,0,0,0,Legítimo,Legítimo
Correo56,0,0,0,0,0,0,0,0,1,0,Legítimo,Legítimo
Correo57,0,0,1,1,0,1,0,0,0,0,Legítimo,Legítimo
Correo58,0,1,0,0,0,0,1,0,0,0,Legítimo,Legítimo
Correo59,0,1,0,0,0,1,0,0,1,0,Legítimo,Legítimo
Correo60,0,0,0,0,0,1,0,0,1,0,Legítimo,Legítimo
