ID;Clase_Predicha;Distancia_Hamming
Correo01;Phishing;2
Correo02;Phishing;3
Correo03;Legítimo;4
Correo04;Phishing;3
Correo05;Legítimo;4
Correo06;Legítimo;3
Correo07;Phishing;2
Correo08;Phishing;2
Correo09;Legítimo;3
Correo10;Phishing;4
Correo11;Legítimo;4
Correo12;Legítimo;3
Correo13;Phishing;3
Correo14;Phishing;2
Correo15;Phishing;1
Correo16;Legítimo;4
Correo17;Legítimo;4
Correo18;Phishing;3
Correo19;Legítimo;3
Correo20;Phishing;4
Correo21;Phishing;3
Correo22;Legítimo;3
Correo23;Phishing;1
Correo24;Phishing;3
Correo25;Legítimo;3
Correo26;Phishing;3
Correo27;Legítimo;3
Correo28;Phishing;2
Correo29;Phishing;3
Correo30;Legítimo;4
Correo31;Phishing;2
Correo32;Phishing;4
Correo33;Legítimo;3
Correo34;Phishing;1
Correo35;Phishing;3
Correo36;Phishing;3
Correo37;Phishing;3
Correo38;Legítimo;2
Correo39;Phishing;3
Correo40;Phishing;3
Correo41;Phishing;3
Correo42;Legítimo;3
Correo43;Phishing;3
Correo44;Legítimo;4
Correo45;Phishing;2
Correo46;Phishing;3
Correo47;Legítimo;4
Correo48;Legítimo;3
Correo49;Phishing;4
Correo50;Phishing;2
Correo51;Legítimo;2
Correo52;Legítimo;3
Correo53;Legítimo;1
Correo54;Legítimo;3
Correo55;Legítimo;2
Correo56;Legítimo;2
Correo57;Legítimo;1
Correo58;Phishing;2
Correo59;Legítimo;4
Correo60;Legítimo;3
Correo61;Phishing;3
Correo62;Legítimo;2
Correo63;Legítimo;3
Correo64;Legítimo;3
Correo65;Phishing;2
Correo66;Phishing;2
Correo67;Legítimo;3
Correo68;Legítimo;4
Correo69;Legítimo;3
Correo70;Phishing;3
Correo71;Legítimo;4
Correo72;Legítimo;3
Correo73;Phishing;3
Correo74;Legítimo;2
Correo75;Legítimo;3
Correo76;Legítimo;3
Correo77;Phishing;3
Correo78;Legítimo;3
Correo79;Phishing;2
Correo80;Legítimo;4
Correo81;Phishing;2
Correo82;Legítimo;1
Correo83;Phishing;2
Correo84;Legítimo;3
Correo85;Legítimo;3
Correo86;Phishing;2
Correo87;Legítimo;4
Correo88;Legítimo;3
Correo89;Phishing;4
Correo90;Legítimo;3
Correo91;Legítimo;2
Correo92;Phishing;3
Correo93;Legítimo;2
Correo94;Legítimo;1
Correo95;Legítimo;4
Correo96;Legítimo;2
Correo97;Phishing;2
Correo98;Legítimo;3
Correo99;Phishing;2
Correo100;Legítimo;4
