ID;Clase_Predicha;Distancia_Hamming
Correo01;Phishing;1
Correo02;Phishing;1
Correo03;Legítimo;3
Correo04;Phishing;1
Correo05;Phishing;1
Correo06;Legítimo;2
Correo07;Phishing;1
Correo08;Phishing;1
Correo09;Phishing;1
Correo10;Phishing;1
Correo11;Legítimo;2
Correo12;Phishing;2
Correo13;Phishing;2
Correo14;Phishing;2
Correo15;Phishing;2
Correo16;Phishing;3
Correo17;Phishing;2
Correo18;Legítimo;2
Correo19;Phishing;2
Correo20;Phishing;3
Correo21;Legítimo;2
Correo22;Phishing;2
Correo23;Phishing;2
Correo24;Phishing;2
Correo25;Phishing;2
Correo26;Phishing;2
Correo27;Legítimo;2
Correo28;Phishing;3
Correo29;Phishing;3
Correo30;Phishing;1
Correo31;Legítimo;1
Correo32;Phishing;2
Correo33;Legítimo;2
Correo34;Legítimo;2
Correo35;Legítimo;2
Correo36;Legítimo;1
Correo37;Phishing;2
Correo38;Legítimo;1
Correo39;Legítimo;2
Correo40;Legítimo;1
Correo41;Phishing;2
Correo42;Legítimo;2
Correo43;Legítimo;1
Correo44;Legítimo;2
Correo45;Legítimo;2
Correo46;Phishing;2
Correo47;Legítimo;2
Correo48;Legítimo;2
Correo49;Legítimo;3
Correo50;Legítimo;2
Correo51;Phishing;2
Correo52;Legítimo;2
Correo53;Legítimo;2
Correo54;Legítimo;2
Correo55;Legítimo;2
Correo56;Legítimo;1
Correo57;Legítimo;2
Correo58;Legítimo;2
Correo58;Legítimo;3
Correo60;Legítimo;3
