ID,SolicitaCredenciales,EnlacesSospechosos,AsuntoUrgente_compuesto,DominioRemitenteSospechoso,NombreDominioIncoherente,DominioContacto_compuesto,DominioAmenaza_compuesto,MicroSeñales_fuerte,LinkYActualizacion,SolicitaCredencialesAlternativa
Correo01,1,1,1,1,1,0,0,1,1,0 #Phishing
Correo02,0,1,1,1,1,0,1,0,0,0 #Phishing
Correo03,1,1,1,0,0,0,1,0,1,1 #Phishing
Correo04,1,0,1,0,1,1,0,0,0,0 #Phishing
Correo05,1,0,0,0,0,1,0,0,1,0 #Phishing
Correo06,0,0,1,0,0,0,1,0,0,0 #Phishing
Correo07,1,1,0,1,0,1,0,1,1,0 #Phishing
Correo08,1,1,0,1,1,1,0,1,0,1 #Phishing 
Correo09,0,1,1,0,0,1,0,0,1,0 #Phishing
Correo10,1,1,1,1,0,1,1,1,0,0 #Phishing
Correo11,1,0,1,0,0,0,1,1,1,0 #Phishing
Correo12,1,0,0,0,1,0,0,0,0,0 #Phishing 
Correo13,1,1,0,1,0,1,1,1,1,1 #Phishing
Correo14,1,0,0,0,1,0,0,1,0,1 #Phishing
Correo15,0,1,1,1,0,0,0,1,0,0 #Phishing
Correo16,1,0,0,0,0,1,0,0,1,0 #Phishing 
Correo17,1,1,1,0,0,1,0,0,0,1 #Phishing
Correo18,0,0,1,1,1,0,0,1,0,0 #Phishing
Correo19,0,0,0,1,0,0,0,1,0,1 #Phishing 
Correo20,1,1,1,0,1,0,1,0,1,0 #Phishing
Correo21,1,0,1,1,1,0,1,1,1,0 #Phishing
Correo22,0,1,0,1,1,0,0,0,0,0 #Phishing
Correo23,0,1,1,1,0,0,0,1,0,1 #Phishing
Correo24,1,1,1,1,1,1,1,1,0,0 #Phishing
Correo25,1,0,0,0,1,0,0,0,0,1 #Phishing
Correo26,1,0,1,0,1,0,1,1,1,0 #Phishing
Correo27,1,1,0,1,0,1,0,0,0,1 #Phishing
Correo28,1,0,1,1,1,1,1,0,0,1 #Phishing
Correo29,0,1,0,1,1,0,1,0,1,1 #Phishing
Correo30,1,1,0,1,0,1,1,0,0,1 #Phishing
Correo31,1,0,1,0,1,0,0,0,0,1 #Phishing
Correo32,1,1,1,0,1,0,1,0,1,0 #Phishing
Correo33,1,0,0,1,1,1,0,0,0,1 #Phishing
Correo34,0,1,1,1,1,0,1,1,1,0 #Phishing
Correo35,1,1,1,0,1,1,0,1,0,1 #Phishing 
Correo36,1,1,0,0,1,1,0,0,1,0 #Phishing
Correo37,1,0,1,1,0,0,0,1,0,0 #Phishing
Correo38,0,0,1,0,1,0,0,0,1,1 #Phishing
Correo39,0,1,1,1,0,1,1,1,0,0 #Phishing
Correo40,1,1,1,1,1,0,1,0,1,1 #Phishing
Correo41,1,0,0,1,1,1,0,0,1,1 #Phishing
Correo42,1,1,0,0,0,0,0,0,1,0 #Phishing
Correo43,1,0,1,0,1,0,1,1,1,0 #Phishing
Correo44,1,0,1,1,0,1,0,1,0,1 #Phishing
Correo45,0,1,1,1,1,0,0,1,0,0 #Phishing
Correo46,1,1,1,1,0,1,0,1,0,0 #Phishing
Correo47,1,0,0,0,1,1,0,0,0,1 #Phishing
Correo48,0,1,1,0,0,0,1,0,0,0 #Phishing
Correo49,1,1,0,1,1,0,1,1,0,0 #Phishing
Correo50,1,0,1,1,1,0,1,0,1,0 #Phishing
Correo51,0,0,0,0,1,0,0,0,0,1 #Legítimo
Correo52,0,1,1,0,0,0,1,0,0,0 #Legítimo
Correo53,0,0,0,1,0,1,0,0,0,1 #Legítimo
Correo54,0,0,0,0,0,1,0,0,1,1 #Legítimo
Correo55,0,0,1,0,1,0,0,0,1,0 #Legítimo
Correo56,0,1,0,0,0,0,0,0,1,0 #Legítimo
