ID;SolicitaCredenciales;EnlacesSospechosos;AsuntoUrgente_compuesto;DominioRemitenteSospechoso;NombreDominioIncoherente;DominioContacto_compuesto;DominioAmenaza_compuesto;MicroSeñales_Fuerte;LinkYActualizacion;SolicitaCredencialesAlternativa
Correo01;1;1;1;1;1;1;1;1;1;1 # Phishing
Correo02;0;1;1;1;1;0;1;1;1;0 # Phishing
Correo03;1;0;1;1;1;0;0;1;0;0 # Phishing
Correo04;0;0;1;1;0;1;0;1;0;0 # Phishing
Correo05;1;1;1;0;1;1;1;1;0;1 # Phishing
Correo06;0;0;1;0;0;0;1;1;0;0 # Phishing
Correo07;1;0;1;0;1;1;0;1;0;0 # Phishing
Correo08;0;1;1;1;1;0;0;1;1;0 # Phishing
Correo09;1;1;1;1;1;0;0;1;1;1 # Phishing
Correo10;0;1;1;0;1;1;1;1;0;0 # Phishing
Correo11;1;0;1;0;1;0;1;1;0;0 # Phishing
Correo12;1;0;1;1;0;1;0;1;0;0 # Phishing
Correo13;1;1;1;0;0;0;1;1;1;1 # Phishing
Correo14;0;1;1;0;1;1;1;1;0;0 # Phishing
Correo15;1;0;1;1;1;0;0;1;0;0 # Phishing
Correo16;0;0;1;0;0;0;0;1;0;0 # Phishing
Correo17;1;1;1;1;1;1;0;1;1;1 # Phishing
Correo18;0;1;1;0;0;0;1;1;1;0 # Phishing
Correo19;1;0;1;0;1;1;1;1;0;0 # Phishing
Correo20;0;1;1;0;1;0;1;1;1;0 # Phishing
Correo21;1;1;1;0;0;0;0;1;1;1 # Phishing
Correo22;0;0;1;1;1;1;1;1;0;0 # Phishing
Correo23;1;1;1;1;0;0;1;1;1;1 # Phishing
Correo24;0;0;1;0;1;0;0;1;1;0 # Phishing
Correo25;1;0;1;1;0;1;0;1;0;0 # Phishing
Correo26;0;0;1;0;0;1;1;1;0;0 # Phishing
Correo27;1;1;1;1;1;1;0;1;1;1 # Phishing
Correo28;0;0;1;1;0;1;1;1;0;0 # Phishing
Correo29;1;0;1;0;1;1;1;1;0;0 # Phishing
Correo30;0;1;1;1;0;0;0;1;1;0 # Phishing
Correo31;1;1;1;0;1;0;0;1;1;1 # Phishing
Correo32;0;0;1;1;1;0;0;1;0;0 # Phishing
Correo33;1;0;1;0;0;0;1;1;0;0 # Phishing
Correo34;0;1;1;1;1;1;0;1;1;0 # Phishing
Correo35;1;1;1;0;1;0;0;1;1;1 # Phishing
Correo36;0;0;1;1;0;1;1;1;0;0 # Phishing
Correo37;1;1;1;1;0;0;1;1;1;1 # Phishing
Correo38;0;1;1;0;1;0;0;1;0;0 # Phishing
Correo39;1;0;1;1;0;1;1;1;0;0 # Phishing
Correo40;0;0;1;0;1;1;0;1;0;0 # Phishing
Correo41;1;1;1;0;0;0;1;1;1;1 # Phishing
Correo42;0;1;1;1;1;1;1;1;1;0 # Phishing
Correo43;1;0;1;1;0;1;0;1;0;0 # Phishing
Correo44;0;0;1;1;1;1;1;1;0;0 # Phishing
Correo45;1;1;1;0;0;0;0;1;1;1 # Phishing
Correo46;0;0;1;0;1;0;1;1;0;0 # Phishing
Correo47;1;1;1;1;1;1;0;1;1;1 # Phishing
Correo48;0;1;1;0;0;1;1;1;1;0 # Phishing
Correo49;1;0;1;1;1;0;1;1;0;0 # Phishing
Correo50;0;0;1;0;0;1;0;1;0;0 # Phishing
Correo51;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo52;0;0;0;0;0;0;0;1;0;0 # Legítimo
Correo53;0;1;0;0;0;0;0;0;1;0 # Legítimo
Correo54;1;1;0;0;0;0;0;0;1;1 # Legítimo
Correo55;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo56;1;0;0;1;0;0;0;0;0;0 # Legítimo
Correo57;0;0;0;0;0;0;1;0;0;0 # Legítimo
Correo58;1;0;0;0;0;0;0;0;0;0 # Legítimo
Correo59;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo60;0;0;0;1;0;1;0;0;0;0 # Legítimo
Correo61;0;0;0;1;0;1;0;0;0;0 # Legítimo
Correo62;1;0;0;0;0;0;0;0;0;0 # Legítimo
Correo63;0;0;0;1;0;0;0;0;0;0 # Legítimo
Correo64;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo65;0;1;0;0;0;0;0;0;1;0 # Legítimo
Correo66;1;0;0;0;0;0;0;0;0;0 # Legítimo
Correo67;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo68;0;1;0;0;0;0;0;0;1;0 # Legítimo
Correo69;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo70;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo71;0;1;0;0;0;0;0;0;1;0 # Legítimo
Correo72;1;1;0;0;0;0;0;0;1;1 # Legítimo
Correo73;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo74;1;0;0;0;0;0;0;0;0;0 # Legítimo
Correo75;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo76;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo77;0;0;0;1;0;0;0;0;0;0 # Legítimo
Correo78;1;0;0;0;0;0;0;0;0;0 # Legítimo
Correo79;0;0;0;1;0;1;0;0;0;0 # Legítimo
Correo80;1;0;0;0;0;0;0;0;0;0 # Legítimo
Correo81;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo82;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo83;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo84;1;0;0;1;0;0;0;0;0;0 # Legítimo
Correo85;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo86;1;0;0;0;0;0;0;0;0;0 # Legítimo
Correo87;0;0;0;1;0;0;0;0;0;0 # Legítimo
Correo88;1;0;0;0;0;0;0;0;0;0 # Legítimo
Correo89;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo90;1;0;0;0;0;0;0;0;0;0 # Legítimo
Correo91;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo92;1;0;0;0;0;0;0;0;0;0 # Legítimo
Correo93;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo94;0;1;0;0;0;0;0;0;1;0 # Legítimo
Correo95;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo96;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo97;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo98;1;1;0;0;0;0;0;0;1;1 # Legítimo
Correo99;0;0;0;0;0;0;0;0;0;0 # Legítimo
Correo100;1;0;0;0;0;0;0;0;0;0 # Legítimo
