Clase;SolicitaCredenciales;EnlacesSospechosos;AsuntoUrgente_compuesto;DominioRemitenteSospechoso;NombreDominioIncoherente;DominioContacto_compuesto;DominioAmenaza_compuesto;MicroSeñales_fuerte;LinkYActualizacion;SolicitaCredencialesAlternativa
Legítimo;0;0;0;0;0;0;0;0;0;0
Legítimo;0;0;0;1;0;1;0;0;0;0
Legítimo;0;0;1;0;0;0;0;1;1;0
Legítimo;0;1;0;0;0;0;0;0;0;0
Phishing;1;1;1;1;1;1;0;1;1;1
Phishing;0;1;1;1;1;0;1;1;1;0
Phishing;0;1;0;1;0;0;0;1;0;0
Phishing;1;0;1;0;1;0;0;1;0;0
Phishing;1;1;0;1;1;1;0;1;1;1
Phishing;0;0;1;1;1;0;1;0;0;0
