ID;Clase_Predicha;Distancia_Hamming
Correo01;Phishing;3
Correo02;Phishing;2
Correo03;Phishing;3
Correo04;Legítimo;3
Correo05;Phishing;5
Correo06;Legítimo;4
Correo07;Phishing;3
Correo08;Phishing;3
Correo09;Phishing;3
Correo10;Phishing;5
Correo11;Phishing;3
Correo12;Legítimo;4
Correo13;Legítimo;5
Correo14;Phishing;5
Correo15;Phishing;3
Correo16;Legítimo;3
Correo17;Phishing;2
Correo18;Legítimo;4
Correo19;Phishing;4
Correo20;Phishing;3
Correo21;Legítimo;4
Correo22;Phishing;3
Correo23;Phishing;4
Correo24;Legítimo;3
Correo25;Legítimo;4
Correo26;Legítimo;5
Correo27;Phishing;2
Correo28;Legítimo;4
Correo29;Phishing;4
Correo30;Legítimo;4
Correo31;Phishing;4
Correo32;Phishing;3
Correo33;Phishing;4
Correo34;Phishing;3
Correo35;Phishing;4
Correo36;Legítimo;4
Correo37;Phishing;4
Correo38;Legítimo;4
Correo39;Legítimo;5
Correo40;Phishing;4
Correo41;Legítimo;5
Correo42;Phishing;3
Correo43;Legítimo;4
Correo44;Phishing;3
Correo45;Legítimo;4
Correo46;Phishing;3
Correo47;Phishing;2
Correo48;Legítimo;5
Correo49;Phishing;3
Correo50;Legítimo;4
Correo51;Legítimo;2
Correo52;Legítimo;2
Correo53;Legítimo;3
Correo54;Legítimo;4
Correo55;Legítimo;2
Correo56;Legítimo;4
Correo57;Legítimo;3
Correo58;Legítimo;3
Correo59;Legítimo;2
Correo60;Legítimo;2
Correo61;Legítimo;2
Correo62;Legítimo;3
Correo63;Legítimo;3
Correo64;Legítimo;2
Correo65;Legítimo;3
Correo66;Legítimo;3
Correo67;Legítimo;2
Correo68;Legítimo;3
Correo69;Legítimo;2
Correo70;Legítimo;2
Correo71;Legítimo;3
Correo72;Legítimo;4
Correo73;Legítimo;2
Correo74;Legítimo;3
Correo75;Legítimo;2
Correo76;Legítimo;2
Correo77;Legítimo;3
Correo78;Legítimo;3
Correo79;Legítimo;2
Correo80;Legítimo;3
Correo81;Legítimo;2
Correo82;Legítimo;2
Correo83;Legítimo;2
Correo84;Legítimo;4
Correo85;Legítimo;2
Correo86;Legítimo;3
Correo87;Legítimo;3
Correo88;Legítimo;3
Correo89;Legítimo;2
Correo90;Legítimo;3
Correo91;Legítimo;2
Correo92;Legítimo;3
Correo93;Legítimo;2
Correo94;Legítimo;3
Correo95;Legítimo;2
Correo96;Legítimo;2
Correo97;Legítimo;2
Correo98;Legítimo;4
Correo99;Legítimo;2
Correo100;Legítimo;3
